Birth Rate,Business Tax Rate,Days to Start Business,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
0.04,0.65,161.00,14425606793.00,0.025,85.00,606.00,0.04,0.10,59.00,56.00,0.90,0.42,0.54,0.03,0.64,Africa,"Congo, Rep."
0.04,0.44,32.00,24074553674.00,0.068,84.00,270.00,0.08,0.00,51.00,49.00,0.90,0.42,0.55,0.03,0.51,Africa,Cote d'Ivoire
0.03,0.38,37.00,1239144502.00,0.087,119.00,82.00,0.06,0.10,62.00,59.00,0.20,0.34,0.62,0.04,0.77,Africa,Djibouti
0.02,0.44,8.00,236000735704.00,0.049,137.00,433.00,0.02,0.40,73.00,68.00,1.10,0.31,0.63,0.06,0.43,Africa,"Egypt, Arab Rep."
0.04,0.44,135.00,15715842151.00,0.045,1051.00,492.00,0.07,0.10,54.00,51.00,0.70,0.39,0.58,0.03,0.39,Africa,Equatorial Guinea
0.04,0.85,84.00,2607739837.00,0.027,12.00,216.00,0.04,0.00,64.00,59.00,0.00,0.43,0.55,0.02,0.21,Africa,Eritrea
0.03,0.30,15.00,31367606700.00,0.041,14.00,198.00,0.05,0.00,64.00,61.00,0.20,0.44,0.53,0.03,0.18,Africa,Ethiopia
0.03,0.44,57.00,18796191833.00,0.034,401.00,488.00,0.04,0.10,64.00,62.00,1.50,0.39,0.56,0.05,0.86,Africa,Gabon
0.04,2.83,27.00,898282866.00,0.047,24.00,376.00,0.05,0.10,60.00,57.00,0.80,0.46,0.52,0.03,0.57,Africa,"Gambia, The"
0.03,0.33,12.00,39564970070.00,0.053,83.00,224.00,0.05,0.10,62.00,60.00,0.90,0.39,0.58,0.04,0.51,Africa,Ghana
0.04,0.91,40.00,5067360041.00,0.06,27.00,416.00,0.07,0.00,56.00,55.00,0.40,0.43,0.54,0.03,0.35,Africa,Guinea
0.04,0.46,9.00,967762549.00,0.063,35.00,208.00,0.08,0.00,55.00,52.00,0.50,0.42,0.55,0.03,0.46,Africa,Guinea-Bissau
0.04,0.49,33.00,34313315840.00,0.044,35.00,393.00,0.05,0.30,62.00,59.00,0.70,0.43,0.55,0.03,0.24,Africa,Kenya
0.03,0.16,40.00,2487352968.00,0.117,146.00,324.00,0.07,0.00,48.00,48.00,0.60,0.37,0.59,0.04,0.25,Africa,Lesotho
0.04,0.43,6.00,1537753885.00,0.156,59.00,158.00,0.06,0.00,61.00,59.00,0.50,0.43,0.54,0.03,0.48,Africa,Liberia
0.02,,,34699395524.00,0.039,211.00,,0.01,0.10,77.00,73.00,1.60,0.29,0.66,0.05,0.78,Africa,Libya
0.04,0.37,8.00,9853981624.00,0.041,19.00,201.00,0.04,0.00,65.00,62.00,0.40,0.43,0.54,0.03,0.33,Africa,Madagascar
0.04,0.29,39.00,5627898037.00,0.083,30.00,157.00,0.05,0.00,54.00,54.00,0.30,0.46,0.51,0.03,0.16,Africa,Malawi
0.05,0.51,8.00,10647545670.00,0.068,51.00,270.00,0.08,0.00,54.00,54.00,0.80,0.47,0.50,0.03,0.37,Africa,Mali
0.04,0.68,19.00,4136083856.00,0.059,51.00,696.00,0.07,0.00,63.00,60.00,0.90,0.40,0.57,0.03,0.57,Africa,Mauritania
0.01,0.28,6.00,11252405860.00,0.049,450.00,161.00,0.01,0.40,77.00,70.00,1.00,0.21,0.71,0.08,0.40,Africa,Mauritius
0.02,0.50,12.00,99211339029.00,0.063,195.00,238.00,0.03,0.50,72.00,69.00,1.10,0.28,0.67,0.05,0.58,Africa,Morocco
0.04,0.38,13.00,12547888400.00,0.064,33.00,230.00,0.07,0.00,50.00,49.00,0.30,0.45,0.51,0.03,0.31,Africa,Mozambique
0.03,0.22,66.00,12451760766.00,0.086,486.00,339.00,0.04,0.10,66.00,61.00,1.00,0.37,0.59,0.04,0.43,Africa,Namibia
0.05,0.44,17.00,6411842066.00,0.068,25.00,270.00,0.06,0.00,58.00,57.00,0.30,0.50,0.48,0.03,0.18,Africa,Niger
0.04,0.33,28.00,411743801712.00,0.057,85.00,938.00,0.08,0.30,52.00,51.00,0.60,0.44,0.53,0.03,0.44,Africa,Nigeria
0.04,0.31,3.00,6406727020.00,0.11,62.00,148.00,0.04,0.10,65.00,61.00,0.40,0.44,0.54,0.02,0.25,Africa,Rwanda
0.04,0.33,10.00,248286778.00,0.076,108.00,424.00,0.04,0.20,68.00,64.00,0.60,0.42,0.55,0.04,0.63,Africa,Sao Tome and Principe
0.04,0.46,6.00,14440676498.00,0.05,54.00,666.00,0.05,0.20,65.00,62.00,0.70,0.44,0.53,0.03,0.43,Africa,Senegal
0.02,0.32,39.00,1059593023.00,0.036,413.00,76.00,0.01,0.40,78.00,68.00,1.40,0.22,0.70,0.08,0.53,Africa,Seychelles
0.04,0.32,12.00,2932273988.00,0.163,82.00,357.00,0.11,0.00,45.00,45.00,0.40,0.42,0.55,0.03,0.39,Africa,Sierra Leone
0.05,,,,,,,0.10,0.00,56.00,53.00,0.20,0.48,0.50,0.03,0.38,Africa,Somalia
0.02,0.32,19.00,403894316555.00,0.087,670.00,200.00,0.03,0.30,57.00,53.00,1.20,0.30,0.65,0.05,0.63,Africa,South Africa
0.04,,,20782116982.00,0.017,32.00,,0.07,,55.00,53.00,0.20,0.43,0.54,0.03,0.18,Africa,South Sudan
0.03,0.36,36.00,67320812663.00,0.067,119.00,180.00,0.05,0.20,63.00,60.00,0.70,0.42,0.55,0.03,0.33,Africa,Sudan
0.03,0.37,56.00,4145772237.00,0.083,270.00,104.00,0.06,0.20,48.00,49.00,0.60,0.38,0.58,0.03,0.21,Africa,Swaziland
0.04,0.45,26.00,23874165047.00,0.074,38.00,172.00,0.04,0.00,61.00,59.00,0.60,0.45,0.52,0.03,0.29,Africa,Tanzania
0.04,0.49,84.00,3756023048.00,0.08,43.00,270.00,0.06,0.00,57.00,55.00,0.40,0.42,0.55,0.03,0.38,Africa,Togo
0.02,0.62,11.00,45951129422.00,0.07,304.00,144.00,0.01,0.40,77.00,73.00,1.20,0.23,0.70,0.07,0.66,Africa,Tunisia
0.04,0.35,33.00,15493320082.00,0.093,41.00,213.00,0.05,0.10,59.00,57.00,0.50,0.49,0.49,0.02,0.15,Africa,Uganda
0.04,0.14,18.00,19201691493.00,0.062,87.00,183.00,0.06,0.10,57.00,54.00,0.60,0.47,0.51,0.03,0.39,Africa,Zambia
0.03,0.34,90.00,10956226611.00,,,242.00,0.06,0.20,56.00,55.00,0.70,0.41,0.55,0.04,0.33,Africa,Zimbabwe
0.04,0.36,7.00,17870159082.00,0.084,48.00,275.00,0.07,0.10,61.00,59.00,0.60,0.48,0.50,0.02,0.25,Asia,Afghanistan
0.01,0.39,8.00,10142342770.00,0.037,127.00,500.00,0.02,0.30,78.00,71.00,1.10,0.20,0.69,0.10,0.63,Asia,Armenia
0.02,0.40,8.00,65951627200.00,0.05,359.00,225.00,0.03,0.50,74.00,68.00,1.10,0.22,0.72,0.06,0.54,Asia,Azerbaijan
0.02,0.35,19.00,111905616039.00,0.038,27.00,302.00,0.04,0.10,71.00,69.00,0.60,0.31,0.64,0.05,0.31,Asia,Bangladesh
0.02,0.41,36.00,1840841618.00,0.037,94.00,274.00,0.03,0.20,68.00,67.00,0.70,0.29,0.66,0.05,0.36,Asia,Bhutan
0.02,0.17,101.00,16691360399.00,0.022,917.00,96.00,0.01,0.60,80.00,76.00,1.10,0.26,0.70,0.04,0.76,Asia,Brunei Darussalam
0.03,0.21,102.00,12829541141.00,0.056,49.00,173.00,0.04,0.00,74.00,68.00,0.90,0.31,0.63,0.05,0.20,Asia,Cambodia
0.01,0.64,38.00,7321891954613.00,0.051,274.00,358.00,0.01,0.40,76.00,74.00,0.70,0.18,0.74,0.09,0.51,Asia,China
0.01,0.17,2.00,14434619972.00,0.094,310.00,387.00,0.01,0.30,78.00,70.00,1.00,0.17,0.68,0.14,0.53,Asia,Georgia
0.01,0.23,3.00,248514003083.00,,,80.00,,0.70,87.00,80.00,2.20,0.12,0.75,0.13,1.00,Asia,"Hong Kong SAR, China"
0.02,0.63,29.00,1880100141185.00,0.039,62.00,254.00,0.05,0.10,68.00,64.00,0.70,0.30,0.65,0.05,0.31,Asia,India
0.02,0.32,48.00,845931645339.00,0.029,99.00,266.00,0.03,0.10,72.00,68.00,1.00,0.30,0.65,0.05,0.51,Asia,Indonesia
0.01,0.48,22.00,5905630870455.00,0.1,4641.00,330.00,0.00,0.80,86.00,79.00,1.00,0.13,0.63,0.24,0.91,Asia,Japan
0.02,0.29,19.00,188048960311.00,0.039,458.00,188.00,0.02,0.50,74.00,64.00,1.60,0.25,0.68,0.07,0.54,Asia,Kazakhstan
0.01,,,,,,,0.02,,73.00,66.00,0.00,0.22,0.69,0.09,0.60,Asia,"Korea, Dem. Rep."
0.01,0.29,6.00,1202463655510.00,0.074,1652.00,225.00,0.00,0.80,84.00,78.00,1.10,0.16,0.73,0.11,0.82,Asia,"Korea, Rep."
0.03,0.33,10.00,6197766119.00,0.062,71.00,210.00,0.03,0.20,74.00,66.00,1.20,0.30,0.66,0.04,0.35,Asia,Kyrgyz Republic
0.03,0.32,93.00,8254088067.00,0.028,35.00,362.00,0.06,0.10,69.00,66.00,0.80,0.36,0.60,0.04,0.34,Asia,Lao PDR
0.01,,,36634742799.00,,,,,0.60,82.00,78.00,2.50,0.12,0.80,0.07,1.00,Asia,"Macao SAR, China"
0.02,0.34,6.00,289258937259.00,0.038,384.00,133.00,0.01,0.60,77.00,72.00,1.30,0.27,0.68,0.05,0.72,Asia,Malaysia
0.02,0.09,9.00,2162990126.00,0.081,525.00,,0.01,0.30,78.00,76.00,1.60,0.29,0.66,0.05,0.41,Asia,Maldives
0.02,0.25,13.00,8761426371.00,0.06,190.00,192.00,0.03,0.10,71.00,63.00,1.10,0.27,0.69,0.04,0.69,Asia,Mongolia
0.02,,,,0.018,19.00,,0.04,0.00,67.00,63.00,0.00,0.26,0.69,0.05,0.32,Asia,Myanmar
0.02,0.32,29.00,18850351853.00,0.061,41.00,326.00,0.04,0.10,69.00,66.00,0.50,0.36,0.59,0.05,0.17,Asia,Nepal
0.03,0.35,21.00,213685918599.00,0.03,36.00,560.00,0.07,0.10,67.00,65.00,0.60,0.35,0.61,0.04,0.37,Asia,Pakistan
0.03,0.45,36.00,224095219329.00,0.044,105.00,195.00,0.03,0.30,72.00,65.00,1.00,0.35,0.61,0.04,0.45,Asia,Philippines
0.01,0.27,3.00,274065043106.00,0.042,2144.00,84.00,0.00,0.70,84.00,80.00,1.50,0.17,0.74,0.09,1.00,Asia,Singapore
0.02,1.13,37.00,59178013928.00,0.033,93.00,256.00,0.01,0.20,77.00,71.00,0.90,0.25,0.67,0.08,0.18,Asia,Sri Lanka
0.03,0.85,24.00,6522732203.00,0.058,48.00,224.00,0.04,0.10,71.00,64.00,0.80,0.36,0.61,0.03,0.27,Asia,Tajikistan
0.01,0.37,29.00,345672232116.00,0.041,214.00,264.00,0.01,0.20,77.00,71.00,1.20,0.19,0.72,0.09,0.45,Asia,Thailand
0.04,0.11,94.00,1128300000.00,0.046,46.00,276.00,0.05,0.00,68.00,65.00,0.60,0.47,0.50,0.03,0.30,Asia,Timor-Leste
0.02,,,29233333333.00,0.021,114.00,,0.05,0.10,69.00,61.00,1.00,0.29,0.67,0.04,0.49,Asia,Turkmenistan
0.02,0.98,14.00,45324319955.00,0.056,91.00,205.00,0.04,0.30,71.00,65.00,0.90,0.29,0.66,0.04,0.36,Asia,Uzbekistan
0.02,0.40,38.00,135539487317.00,0.068,93.00,941.00,0.02,0.40,80.00,71.00,1.40,0.23,0.70,0.07,0.31,Asia,Vietnam
0.01,0.32,6.00,12890867763.00,0.06,243.00,371.00,0.01,0.50,80.00,74.00,1.00,0.22,0.68,0.10,0.53,Europe,Albania
,,,,0.072,3053.00,,0.00,0.80,,,0.80,,,,0.87,Europe,Andorra
0.01,0.52,25.00,415984217115.00,0.113,5643.00,170.00,0.00,0.80,84.00,78.00,1.50,0.15,0.67,0.18,0.66,Europe,Austria
0.01,0.62,10.00,59734593905.00,0.049,311.00,654.00,0.00,0.40,77.00,65.00,1.10,0.15,0.71,0.14,0.75,Europe,Belarus
0.01,0.57,4.00,513317999900.00,0.105,4914.00,156.00,0.00,0.80,83.00,78.00,1.10,0.17,0.66,0.17,0.98,Europe,Belgium
0.01,0.24,40.00,18252896439.00,0.099,471.00,422.00,0.01,0.60,79.00,73.00,0.80,0.17,0.68,0.15,0.39,Europe,Bosnia and Herzegovina
0.01,0.27,18.00,53542780661.00,0.073,522.00,500.00,0.01,0.50,78.00,71.00,1.40,0.13,0.68,0.19,0.73,Europe,Bulgaria
0.01,0.22,8.00,61520901516.00,0.068,992.00,196.00,0.00,0.60,80.00,74.00,1.20,0.15,0.67,0.18,0.58,Europe,Croatia
0.01,0.22,8.00,24851264943.00,0.074,2123.00,149.00,0.00,0.60,82.00,77.00,1.00,0.17,0.71,0.12,0.67,Europe,Cyprus
0.01,0.48,20.00,216061200559.00,0.075,1545.00,557.00,0.00,0.70,81.00,75.00,1.20,0.14,0.70,0.16,0.73,Europe,Czech Republic
0.01,0.26,6.00,333743578564.00,0.109,6521.00,135.00,0.00,0.90,82.00,78.00,1.30,0.18,0.65,0.17,0.87,Europe,Denmark
0.01,0.58,7.00,22542967739.00,0.058,928.00,81.00,0.00,0.80,81.00,71.00,1.40,0.16,0.67,0.18,0.68,Europe,Estonia
0.01,,,,,,,,0.80,84.00,79.00,1.20,,,,0.41,Europe,Faeroe Islands
0.01,0.39,14.00,262379400238.00,0.09,4411.00,93.00,0.00,0.90,84.00,77.00,1.70,0.16,0.66,0.18,0.84,Europe,Finland
0.01,0.65,7.00,2782210861683.00,0.116,4968.00,132.00,0.00,0.80,86.00,79.00,0.90,0.18,0.65,0.17,0.79,Europe,France
0.01,0.46,15.00,3628110015053.00,0.113,4996.00,221.00,0.00,0.80,83.00,78.00,1.10,0.13,0.66,0.21,0.75,Europe,Germany
0.01,0.46,11.00,289886951188.00,0.09,2304.00,224.00,0.00,0.50,84.00,78.00,1.10,0.15,0.66,0.19,0.77,Europe,Greece
0.01,0.52,4.00,137452115093.00,0.079,1096.00,277.00,0.01,0.70,79.00,71.00,1.20,0.15,0.69,0.17,0.69,Europe,Hungary
0.01,0.30,5.00,14042801904.00,0.092,4051.00,140.00,0.00,0.90,84.00,81.00,1.10,0.21,0.67,0.12,0.94,Europe,Iceland
0.02,0.25,13.00,226035376257.00,0.088,4306.00,76.00,0.00,0.70,83.00,79.00,1.10,0.22,0.67,0.12,0.62,Europe,Ireland
,,,,,,,,,,,,,,,0.52,Europe,Isle of Man
0.01,0.68,6.00,2196336800620.00,0.092,3339.00,285.00,0.00,0.50,85.00,80.00,1.60,0.14,0.65,0.21,0.68,Europe,Italy
0.02,0.15,58.00,6630214452.00,,,164.00,,,72.00,68.00,,,,,,Europe,Kosovo
0.01,0.37,16.00,28480338368.00,0.06,826.00,290.00,0.01,0.70,79.00,69.00,1.10,0.14,0.67,0.19,0.68,Europe,Latvia
0.01,,,,,,,,0.90,84.00,80.00,1.00,,,,0.14,Europe,Liechtenstein
0.01,0.43,22.00,43083067994.00,0.067,887.00,175.00,0.01,0.60,79.00,68.00,1.60,0.15,0.69,0.16,0.67,Europe,Lithuania
0.01,0.20,19.00,58009863403.00,0.067,7751.00,59.00,0.00,0.90,84.00,79.00,1.50,0.18,0.69,0.14,0.89,Europe,Luxembourg
0.01,0.08,3.00,10395222334.00,0.069,344.00,119.00,0.01,0.60,77.00,73.00,1.10,0.17,0.71,0.12,0.57,Europe,"Macedonia, FYR"
0.01,0.41,40.00,9302057270.00,0.087,1900.00,139.00,0.01,0.70,83.00,79.00,1.20,0.15,0.70,0.15,0.95,Europe,Malta
0.01,0.31,9.00,7016162818.00,0.114,224.00,228.00,0.01,0.40,73.00,65.00,0.90,0.17,0.72,0.11,0.45,Europe,Moldova
,,,6074506533.00,0.044,7180.00,,0.00,0.80,,,0.90,,,,1.00,Europe,Monaco
0.01,0.21,10.00,4501753898.00,0.072,522.00,372.00,0.01,0.40,77.00,72.00,1.90,0.19,0.68,0.13,0.63,Europe,Montenegro
0.01,0.40,8.00,832755438977.00,0.119,5997.00,127.00,0.00,0.90,83.00,79.00,1.20,0.17,0.67,0.16,0.88,Europe,Netherlands
0.01,0.41,7.00,490806911071.00,0.099,9908.00,87.00,0.00,0.90,84.00,79.00,1.20,0.19,0.66,0.15,0.79,Europe,Norway
0.01,0.40,32.00,515771297421.00,0.068,915.00,296.00,0.01,0.60,81.00,73.00,1.30,0.15,0.71,0.14,0.61,Europe,Poland
0.01,0.43,4.00,237888302256.00,0.102,2302.00,275.00,0.00,0.60,84.00,77.00,1.20,0.15,0.67,0.18,0.61,Europe,Portugal
0.01,0.43,14.00,182610666616.00,0.056,480.00,222.00,0.01,0.40,78.00,71.00,1.10,0.15,0.70,0.15,0.54,Europe,Romania
0.01,0.47,29.00,1904793021649.00,0.061,803.00,290.00,0.01,0.50,76.00,64.00,1.40,0.15,0.72,0.13,0.74,Europe,Russian Federation
0.01,,,,0.055,3553.00,,0.00,0.50,86.00,80.00,1.10,,,,0.94,Europe,San Marino
0.01,0.34,13.00,43749934551.00,0.103,622.00,279.00,0.01,0.40,77.00,72.00,1.30,0.17,0.70,0.14,0.55,Europe,Serbia
0.01,0.48,18.00,95877536836.00,0.079,1415.00,231.00,0.01,0.70,80.00,72.00,1.10,0.15,0.73,0.13,0.54,Europe,Slovak Republic
0.01,0.34,6.00,50250147802.00,0.089,2171.00,260.00,0.00,0.70,83.00,77.00,1.10,0.14,0.69,0.17,0.50,Europe,Slovenia
0.01,0.39,28.00,1454534452554.00,0.093,2978.00,187.00,0.00,0.70,86.00,80.00,1.10,0.15,0.68,0.17,0.79,Europe,Spain
0.01,0.52,16.00,536000581090.00,0.095,5419.00,122.00,0.00,0.90,84.00,80.00,1.20,0.17,0.65,0.19,0.85,Europe,Sweden
0.01,0.29,18.00,658867317929.00,0.11,9248.00,63.00,0.00,0.90,85.00,81.00,1.30,0.15,0.68,0.17,0.74,Europe,Switzerland
0.02,0.40,6.00,774754155294.00,0.061,644.00,226.00,0.02,0.40,78.00,71.00,0.90,0.26,0.67,0.07,0.71,Europe,Turkey
0.01,0.57,24.00,163421733019.00,0.073,262.00,657.00,0.01,0.30,76.00,66.00,1.20,0.14,0.70,0.16,0.69,Europe,Ukraine
0.01,0.36,12.00,2462484285580.00,0.094,3659.00,110.00,0.00,0.90,83.00,79.00,1.20,0.18,0.66,0.17,0.82,Europe,United Kingdom
0.02,0.14,9.00,29044378668.00,0.038,766.00,36.00,0.01,0.80,77.00,76.00,1.30,0.20,0.78,0.02,0.89,Middle East,Bahrain
0.02,0.44,11.00,528426099489.00,0.068,483.00,344.00,0.02,0.20,75.00,72.00,0.70,0.24,0.71,0.05,0.71,Middle East,"Iran, Islamic Rep."
0.03,0.28,32.00,191176927521.00,0.027,160.00,312.00,0.03,0.10,73.00,65.00,0.80,0.41,0.56,0.03,0.69,Middle East,Iraq
0.02,0.30,20.00,258216783343.00,0.076,2373.00,235.00,0.00,0.70,84.00,80.00,1.20,0.27,0.62,0.11,0.92,Middle East,Israel
0.03,0.28,12.00,28840197019.00,0.088,386.00,151.00,0.02,0.30,75.00,72.00,1.10,0.35,0.62,0.03,0.83,Middle East,Jordan
0.02,0.11,32.00,160600006232.00,0.026,1349.00,98.00,0.01,0.70,75.00,73.00,1.60,0.25,0.73,0.02,0.98,Middle East,Kuwait
0.01,0.30,9.00,40078938640.00,0.074,646.00,180.00,0.01,0.50,82.00,77.00,0.80,0.23,0.69,0.09,0.87,Middle East,Lebanon
0.02,0.22,8.00,69971912138.00,0.024,610.00,62.00,0.01,0.50,79.00,74.00,1.60,0.26,0.72,0.03,0.76,Middle East,Oman
0.01,0.11,9.00,169804731108.00,0.019,1738.00,36.00,0.01,0.70,79.00,77.00,1.20,0.13,0.86,0.01,0.99,Middle East,Qatar
0.02,0.15,21.00,669506666667.00,0.035,721.00,79.00,0.01,0.50,77.00,74.00,1.90,0.30,0.67,0.03,0.82,Middle East,Saudi Arabia
0.03,0.40,13.00,,0.034,102.00,336.00,0.01,0.20,78.00,72.00,0.60,0.36,0.61,0.04,0.56,Middle East,Syrian Arab Republic
0.02,0.14,13.00,348594945288.00,0.031,1375.00,12.00,0.01,0.80,78.00,76.00,1.30,0.14,0.86,0.00,0.84,Middle East,United Arab Emirates
0.03,0.33,12.00,29207296703.00,0.05,63.00,248.00,0.04,0.10,64.00,61.00,0.50,0.41,0.56,0.03,0.32,Middle East,"Yemen, Rep."
,,,,,,,,,,,,,,,0.88,Oceania,American Samoa
0.01,0.47,3.00,1386889147177.00,0.092,6114.00,109.00,0.00,0.80,84.00,80.00,1.00,0.19,0.67,0.14,0.89,Oceania,Australia
0.02,0.38,45.00,3753485389.00,0.038,167.00,163.00,0.02,0.30,73.00,67.00,0.80,0.29,0.66,0.05,0.52,Oceania,Fiji
0.02,,,,,,,,0.50,78.00,74.00,0.80,0.23,0.70,0.07,0.56,Oceania,French Polynesia
0.02,,,,,,,,0.60,81.00,76.00,,0.27,0.65,0.08,0.94,Oceania,Guam
0.02,0.32,31.00,172253739.00,0.108,181.00,120.00,0.05,0.10,71.00,65.00,0.10,0.33,0.63,0.04,0.44,Oceania,Kiribati
,0.65,17.00,170700000.00,0.16,567.00,128.00,0.03,0.10,,,,,,,0.72,Oceania,Marshall Islands
0.02,0.59,16.00,310287519.00,0.137,412.00,128.00,0.03,0.20,70.00,68.00,0.30,0.36,0.60,0.04,0.22,Oceania,"Micronesia, Fed. Sts."
0.02,,,,,,,,0.50,79.00,73.00,0.90,0.23,0.67,0.10,0.68,Oceania,New Caledonia
0.01,0.34,1.00,163841041662.00,0.103,3715.00,172.00,0.01,0.80,83.00,79.00,1.10,0.20,0.66,0.13,0.86,Oceania,New Zealand
0.03,0.42,51.00,12393604089.00,0.042,74.00,194.00,0.05,0.00,64.00,60.00,0.30,0.39,0.58,0.03,0.13,Oceania,Papua New Guinea
0.03,0.19,9.00,631791993.00,0.07,245.00,224.00,0.02,0.10,76.00,70.00,,0.38,0.57,0.05,0.20,Oceania,Samoa
0.03,0.26,42.00,868574141.00,0.077,124.00,80.00,0.03,0.10,69.00,66.00,0.50,0.41,0.56,0.03,0.21,Oceania,Solomon Islands
0.03,0.25,16.00,423038017.00,0.05,219.00,164.00,0.01,0.30,75.00,69.00,0.50,0.37,0.57,0.06,0.23,Oceania,Tonga
0.03,0.08,35.00,785745262.00,0.038,125.00,120.00,0.02,0.10,73.00,69.00,0.60,0.38,0.58,0.04,0.25,Oceania,Vanuatu
0.02,0.41,21.00,1127037037.00,0.055,703.00,207.00,0.01,0.50,78.00,73.00,2.00,0.26,0.67,0.07,0.26,The Americas,Antigua and Barbuda
0.02,1.08,25.00,557727273773.00,0.079,866.00,415.00,0.01,0.50,80.00,72.00,1.50,0.25,0.65,0.11,0.91,The Americas,Argentina
0.01,,,2584463687.00,,,,,0.70,78.00,73.00,,0.20,0.69,0.11,0.43,The Americas,Aruba
0.02,0.47,24.00,7872584000.00,0.075,1622.00,58.00,0.01,0.70,78.00,72.00,0.80,0.22,0.71,0.07,0.83,The Americas,"Bahamas, The"
0.01,0.41,18.00,4368900000.00,0.072,935.00,245.00,0.01,0.70,77.00,73.00,1.20,0.19,0.70,0.11,0.32,The Americas,Barbados
0.02,0.33,44.00,1489000000.00,0.058,264.00,147.00,0.02,0.20,77.00,71.00,0.70,0.35,0.61,0.04,0.45,The Americas,Belize
0.01,,,5550771000.00,,,,,0.90,82.00,77.00,,,,,1.00,The Americas,Bermuda
0.03,0.80,49.00,23948541156.00,0.05,115.00,1080.00,0.03,0.30,69.00,65.00,0.80,0.36,0.60,0.05,0.67,The Americas,Bolivia
0.02,0.66,119.00,2476694763271.00,0.089,1119.00,2600.00,0.01,0.50,77.00,70.00,1.20,0.25,0.68,0.07,0.85,The Americas,Brazil
0.01,0.26,5.00,1778632046933.00,0.109,5656.00,131.00,0.01,0.80,83.00,79.00,0.80,0.16,0.69,0.15,0.81,The Americas,Canada
0.02,,,,,,,,0.70,,,1.70,,,,1.00,The Americas,Cayman Islands
0.01,0.25,8.00,251162316598.00,0.071,1022.00,316.00,0.01,0.50,82.00,76.00,1.30,0.22,0.69,0.09,0.89,The Americas,Chile
0.02,0.76,14.00,335415156702.00,0.065,466.00,193.00,0.02,0.40,77.00,70.00,1.00,0.28,0.66,0.06,0.75,The Americas,Colombia
0.02,0.55,60.00,41237296807.00,0.102,883.00,246.00,0.01,0.40,82.00,77.00,0.90,0.24,0.69,0.07,0.73,The Americas,Costa Rica
0.01,,,68233900000.00,0.106,648.00,,0.01,0.20,81.00,77.00,0.10,0.17,0.70,0.13,0.77,The Americas,Cuba
0.01,,,,,,,,,81.00,74.00,1.40,0.20,0.67,0.13,0.90,The Americas,Curacao
,0.37,12.00,491481481.00,0.06,402.00,117.00,0.01,0.50,,,1.50,,,,0.68,The Americas,Dominica
0.02,0.41,19.00,55433248935.00,0.054,293.00,324.00,0.03,0.40,76.00,70.00,0.90,0.31,0.63,0.06,0.75,The Americas,Dominican Republic
0.02,0.35,56.00,76769729000.00,0.069,362.00,654.00,0.02,0.30,79.00,73.00,1.00,0.31,0.63,0.06,0.63,The Americas,Ecuador
0.02,0.35,17.00,23139000000.00,0.068,252.00,320.00,0.02,0.20,77.00,67.00,1.30,0.31,0.62,0.07,0.65,The Americas,El Salvador
0.01,,,,,,,,0.60,,,1.00,,,,0.85,The Americas,Greenland
0.02,0.45,15.00,778518505.00,0.065,481.00,140.00,0.01,0.30,75.00,70.00,1.20,0.27,0.66,0.07,0.36,The Americas,Grenada
